Project Title,Film Type,Section,Events::c.event_display.txt
Christine,DRAMF - Dramatic Feature,U.S. Dramatic,2016 - Sundance Film Festival
Equity,DRAMF - Dramatic Feature,U.S. Dramatic,2016 - Sundance Film Festival
The Free World,DRAMF - Dramatic Feature,U.S. Dramatic,2016 - Sundance Film Festival
Goat,DRAMF - Dramatic Feature,U.S. Dramatic,2016 - Sundance Film Festival
The Intervention,US Narrative Feature,U.S. Dramatic,2016 - Sundance Film Festival
Joshy,DRAMF - Dramatic Feature,U.S. Dramatic,2016 - Sundance Film Festival
Lovesong,DRAMF - Dramatic Feature,U.S. Dramatic,2016 - Sundance Film Festival
Morris from America,DRAMF - Dramatic Feature,U.S. Dramatic,2016 - Sundance Film Festival
Other People,DRAMF - Dramatic Feature,U.S. Dramatic,2016 - Sundance Film Festival
Southside With You,DRAMF - Dramatic Feature,U.S. Dramatic,2016 - Sundance Film Festival
Spa Night,DRAMF - Dramatic Feature,U.S. Dramatic,2016 - Sundance Film Festival
Swiss Army Man,DRAMF - Dramatic Feature,U.S. Dramatic,2016 - Sundance Film Festival
Tallulah,DRAMF - Dramatic Feature,U.S. Dramatic,2016 - Sundance Film Festival
White Girl,US Narrative Feature,U.S. Dramatic,2016 - Sundance Film Festival
The Eagle Huntress,DOCF - Documentary Feature,Sundance Kids,2016 - Sundance Film Festival
Little Gangster,DRAMF - Dramatic Feature,Sundance Kids,2016 - Sundance Film Festival
Snowtime!,DRAMF - Dramatic Feature,Sundance Kids,2016 - Sundance Film Festival
31,DRAMF - Dramatic Feature,Midnight,2016 - Sundance Film Festival
Antibirth,DRAMF - Dramatic Feature,Midnight,2016 - Sundance Film Festival
The Blackout Experiments,DOCF - Documentary Feature,Midnight,2016 - Sundance Film Festival
Carnage Park,DRAMF - Dramatic Feature,Midnight,2016 - Sundance Film Festival
The Greasy Strangler,US Narrative Feature,Midnight,2016 - Sundance Film Festival
Outlaws and Angels,DRAMF - Dramatic Feature,Midnight,2016 - Sundance Film Festival
Trash Fire,DRAMF - Dramatic Feature,Midnight,2016 - Sundance Film Festival
Under the Shadow,DRAMF - Dramatic Feature,Midnight,2016 - Sundance Film Festival
Yoga Hosers,DRAMF - Dramatic Feature,Midnight,2016 - Sundance Film Festival
Cameraperson,US Documentary Feature,NF Films & Performances,2016 - Sundance Film Festival
The Illinois Parables,DOCF - Documentary Feature,NF Films & Performances,2016 - Sundance Film Festival
Notes on Blindness,DOCF - Documentary Feature,NF Films & Performances,2016 - Sundance Film Festival
THE 4TH,Comedy,NEXT,2016 - Sundance Film Festival
Dark Night,DRAMF - Dramatic Feature,NEXT,2016 - Sundance Film Festival
The Eyes of My Mother,DRAMF - Dramatic Feature,NEXT,2016 - Sundance Film Festival
First Girl I Loved,DRAMF - Dramatic Feature,NEXT,2016 - Sundance Film Festival
The Fits,DRAMF - Dramatic Feature,NEXT,2016 - Sundance Film Festival
How To Tell You're A Douchebag,DRAMF - Dramatic Feature,NEXT,2016 - Sundance Film Festival
Jacqueline (Argentine),DRAMF - Dramatic Feature,NEXT,2016 - Sundance Film Festival
The Land,DRAMF - Dramatic Feature,NEXT,2016 - Sundance Film Festival
Operation Avalanche,DRAMF - Dramatic Feature,NEXT,2016 - Sundance Film Festival
Sleight,DRAMF - Dramatic Feature,NEXT,2016 - Sundance Film Festival
Agnus Dei,International Narrative Feature,Premieres,2016 - Sundance Film Festival
Ali & Nino,International Narrative Feature,Premieres,2016 - Sundance Film Festival
Captain Fantastic,DRAMF - Dramatic Feature,Premieres,2016 - Sundance Film Festival
Certain Women,US Narrative Feature,Premieres,2016 - Sundance Film Festival
Complete Unknown,DRAMF - Dramatic Feature,Premieres,2016 - Sundance Film Festival
Frank & Lola,DRAMF - Dramatic Feature,Premieres,2016 - Sundance Film Festival
The Fundamentals of Caring,US Narrative Feature,Premieres,2016 - Sundance Film Festival
The Hollars,DRAMF - Dramatic Feature,Premieres,2016 - Sundance Film Festival
Hunt for the Wilderpeople,DRAMF - Dramatic Feature,Premieres,2016 - Sundance Film Festival
Indignation,DRAMF - Dramatic Feature,Premieres,2016 - Sundance Film Festival
Little Men,DRAMF - Dramatic Feature,Premieres,2016 - Sundance Film Festival
Love & Friendship,DRAMF - Dramatic Feature,Premieres,2016 - Sundance Film Festival
Manchester By The Sea,US Narrative Feature,Premieres,2016 - Sundance Film Festival
Mr. Pig,DRAMF - Dramatic Feature,Premieres,2016 - Sundance Film Festival
Sing Street,DRAMF - Dramatic Feature,Premieres,2016 - Sundance Film Festival
Sophie and the Rising Sun,DRAMF - Dramatic Feature,Premieres,2016 - Sundance Film Festival
Wiener-Dog,US Narrative Feature,Premieres,2016 - Sundance Film Festival
American Epic,US Documentary Feature,Special Events,2016 - Sundance Film Festival
Behind the Scenes of Anomalisa,US Narrative Feature,Special Events,2016 - Sundance Film Festival
The Girlfriend Experience,DRAMF - Dramatic Feature,Special Events,2016 - Sundance Film Festival
The Skinny,US Narrative Feature (Special Event: 6 Part mini/web-series),Special Events,2016 - Sundance Film Festival
Cemetery of Splendor,DRAMF - Dramatic Feature,Spotlight,2016 - Sundance Film Festival
Embrace of the Serpent,DRAMF - Dramatic Feature,Spotlight,2016 - Sundance Film Festival
Green Room,US Narrative Feature,Spotlight,2016 - Sundance Film Festival
Land of Mine,International Narrative Feature,Spotlight,2016 - Sundance Film Festival
The Lobster,DRAMF - Dramatic Feature,Spotlight,2016 - Sundance Film Festival
Maggie's Plan,Maggie's Plan,Spotlight,2016 - Sundance Film Festival
Miles Ahead,US Narrative Feature,Spotlight,2016 - Sundance Film Festival
Rams,DRAMF - Dramatic Feature,Spotlight,2016 - Sundance Film Festival
Viva,DRAMF - Dramatic Feature,Spotlight,2016 - Sundance Film Festival
City of Hope,Dramatic Feature,Collection,2016 - Sundance Film Festival
River of Grass,Dramatic Feature,Collection,2016 - Sundance Film Festival
Walking and Talking,Dramatic Feature,Collection,2016 - Sundance Film Festival
Eddie the Eagle,,TBA,2016 - Sundance Film Festival
All These Sleepless Nights,DOCF - Documentary Feature,World Doc,2016 - Sundance Film Festival
A Flag Without a Country,DOCF - Documentary Feature,World Doc,2016 - Sundance Film Festival
Hooligan Sparrow,DOCF - Documentary Feature,World Doc,2016 - Sundance Film Festival
The Land of the Enlightened,DOCF - Documentary Feature,World Doc,2016 - Sundance Film Festival
The Lovers and the Despot,DOCF - Documentary Feature,World Doc,2016 - Sundance Film Festival
Plaza de la Soledad,DOCF - Documentary Feature,World Doc,2016 - Sundance Film Festival
The Settlers,DOCF - Documentary Feature,World Doc,2016 - Sundance Film Festival
Sky Ladder: The Art of Cai Guo-Qiang,DOCF - Documentary Feature,World Doc,2016 - Sundance Film Festival
Sonita,DOCF - Documentary Feature,World Doc,2016 - Sundance Film Festival
Tickled,DOCF - Documentary Feature,World Doc,2016 - Sundance Film Festival
We Are X,DOCF - Documentary Feature,World Doc,2016 - Sundance Film Festival
When Two Worlds Collide,DOCF - Documentary Feature,World Doc,2016 - Sundance Film Festival
Belgica,International Narrative Feature,World Drama,2016 - Sundance Film Festival
Between Sea and Land,DRAMF - Dramatic Feature,World Drama,2016 - Sundance Film Festival
Brahman Naman,DRAMF - Dramatic Feature,World Drama,2016 - Sundance Film Festival
A Good Wife,DRAMF - Dramatic Feature,World Drama,2016 - Sundance Film Festival
Halal Love (and Sex),DRAMF - Dramatic Feature,World Drama,2016 - Sundance Film Festival
The Lure,DRAMF - Dramatic Feature,World Drama,2016 - Sundance Film Festival
Mammal,DRAMF - Dramatic Feature,World Drama,2016 - Sundance Film Festival
Mi Amiga del Parque,International Narrative Feature,World Drama,2016 - Sundance Film Festival
Much Ado About Nothing,DRAMF - Dramatic Feature,World Drama,2016 - Sundance Film Festival
Pleasure. Love.,Narrative Feature,World Drama,2016 - Sundance Film Festival
Sand Storm,DRAMF - Dramatic Feature,World Drama,2016 - Sundance Film Festival
Wild,International Narrative Feature,World Drama,2016 - Sundance Film Festival
